Source,Target,Type,Label,Weight
"#artificialintelligence","#robotics",Undirected,,8
"#stablediffusionart","#aiイラスト",Undirected,,28
"#artificialintelligence","#automation",Undirected,,8
"#chilloutmix","#stablediffusionart",Undirected,,14
"#midjourney","#ia",Undirected,,6
"#bigdata","#machinelearning",Undirected,,14
"#bigdata","#artificialintelligence",Undirected,,10
"#bigdata","#ml",Undirected,,6
"#bigdata","#mi",Undirected,,6
"#machinelearning","#artificialintelligence",Undirected,,36
"#machinelearning","#ml",Undirected,,6
"#machinelearning","#mi",Undirected,,6
"#artificialintelligence","#ml",Undirected,,6
"#artificialintelligence","#mi",Undirected,,12
"#ml","#mi",Undirected,,6
"#artificialintelligence","#innovation",Undirected,,2
"#artificialintelligence","#technology",Undirected,,16
"#mi","#robotics",Undirected,,2
"#mi","#innovation",Undirected,,2
"#mi","#technology",Undirected,,2
"#robotics","#innovation",Undirected,,2
"#robotics","#technology",Undirected,,8
"#innovation","#technology",Undirected,,2
"#chilloutmix","#aiイラスト",Undirected,,34
"#aiart","#aiイラスト",Undirected,,200
"#aiart","#stablediffusion",Undirected,,134
"#aiイラスト","#stablediffusion",Undirected,,120
"#aiart","#chilloutmix",Undirected,,48
"#aiart","#stablediffusionart",Undirected,,30
"#aiart","#artificialintelligence",Undirected,,12
"#aiart","#aiartworks",Undirected,,16
"#aiイラスト","#aiartworks",Undirected,,8
"#stablediffusion","#aiartworks",Undirected,,8
"#midjourneyv5","#nvidia",Undirected,,2
"#chatgpt","#innovation",Undirected,,2
"#chatgpt","#chatgpt4",Undirected,,6
"#chatgpt","#gpt4",Undirected,,30
"#chatgpt","#openai",Undirected,,26
"#innovation","#chatgpt4",Undirected,,2
"#innovation","#gpt4",Undirected,,2
"#innovation","#openai",Undirected,,2
"#chatgpt4","#gpt4",Undirected,,6
"#chatgpt4","#openai",Undirected,,2
"#gpt4","#openai",Undirected,,12
"#cybersecurity","#ml",Undirected,,2
"#cybersecurity","#web3",Undirected,,2
"#cybersecurity","#sdr",Undirected,,2
"#ml","#web3",Undirected,,2
"#ml","#sdr",Undirected,,2
"#web3","#sdr",Undirected,,2
"#chatgpt","#technology",Undirected,,20
"#roboflow","#objectdetection",Undirected,,20
"#roboflow","#machinelearning",Undirected,,20
"#roboflow","#nvidia",Undirected,,20
"#roboflow","#jetson",Undirected,,20
"#roboflow","#phx",Undirected,,20
"#roboflow","#automated",Undirected,,20
"#roboflow","#planespotting",Undirected,,20
"#roboflow","#raspberrypi",Undirected,,20
"#roboflow","#adsb",Undirected,,20
"#roboflow","#sdr",Undirected,,20
"#roboflow","#nodered",Undirected,,20
"#roboflow","#avgeek",Undirected,,20
"#roboflow","#actualplaneserver",Undirected,,20
"#objectdetection","#machinelearning",Undirected,,20
"#objectdetection","#nvidia",Undirected,,20
"#objectdetection","#jetson",Undirected,,20
"#objectdetection","#phx",Undirected,,20
"#objectdetection","#automated",Undirected,,20
"#objectdetection","#planespotting",Undirected,,20
"#objectdetection","#raspberrypi",Undirected,,20
"#objectdetection","#adsb",Undirected,,20
"#objectdetection","#sdr",Undirected,,20
"#objectdetection","#nodered",Undirected,,20
"#objectdetection","#avgeek",Undirected,,20
"#objectdetection","#actualplaneserver",Undirected,,20
"#machinelearning","#nvidia",Undirected,,20
"#machinelearning","#jetson",Undirected,,20
"#machinelearning","#phx",Undirected,,20
"#machinelearning","#automated",Undirected,,20
"#machinelearning","#planespotting",Undirected,,20
"#machinelearning","#raspberrypi",Undirected,,20
"#machinelearning","#adsb",Undirected,,20
"#machinelearning","#sdr",Undirected,,20
"#machinelearning","#nodered",Undirected,,20
"#machinelearning","#avgeek",Undirected,,20
"#machinelearning","#actualplaneserver",Undirected,,20
"#nvidia","#jetson",Undirected,,20
"#nvidia","#phx",Undirected,,20
"#nvidia","#automated",Undirected,,20
"#nvidia","#planespotting",Undirected,,20
"#nvidia","#raspberrypi",Undirected,,20
"#nvidia","#adsb",Undirected,,20
"#nvidia","#sdr",Undirected,,20
"#nvidia","#nodered",Undirected,,20
"#nvidia","#avgeek",Undirected,,20
"#nvidia","#actualplaneserver",Undirected,,20
"#jetson","#phx",Undirected,,20
"#jetson","#automated",Undirected,,20
"#jetson","#planespotting",Undirected,,20
"#jetson","#raspberrypi",Undirected,,20
"#jetson","#adsb",Undirected,,20
"#jetson","#sdr",Undirected,,20
"#jetson","#nodered",Undirected,,20
"#jetson","#avgeek",Undirected,,20
"#jetson","#actualplaneserver",Undirected,,20
"#phx","#automated",Undirected,,20
"#phx","#planespotting",Undirected,,20
"#phx","#raspberrypi",Undirected,,20
"#phx","#adsb",Undirected,,20
"#phx","#sdr",Undirected,,20
"#phx","#nodered",Undirected,,20
"#phx","#avgeek",Undirected,,20
"#phx","#actualplaneserver",Undirected,,20
"#automated","#planespotting",Undirected,,20
"#automated","#raspberrypi",Undirected,,20
"#automated","#adsb",Undirected,,20
"#automated","#sdr",Undirected,,20
"#automated","#nodered",Undirected,,20
"#automated","#avgeek",Undirected,,20
"#automated","#actualplaneserver",Undirected,,20
"#planespotting","#raspberrypi",Undirected,,20
"#planespotting","#adsb",Undirected,,20
"#planespotting","#sdr",Undirected,,20
"#planespotting","#nodered",Undirected,,20
"#planespotting","#avgeek",Undirected,,20
"#planespotting","#actualplaneserver",Undirected,,20
"#raspberrypi","#adsb",Undirected,,20
"#raspberrypi","#sdr",Undirected,,20
"#raspberrypi","#nodered",Undirected,,20
"#raspberrypi","#avgeek",Undirected,,20
"#raspberrypi","#actualplaneserver",Undirected,,20
"#adsb","#sdr",Undirected,,20
"#adsb","#nodered",Undirected,,20
"#adsb","#avgeek",Undirected,,20
"#adsb","#actualplaneserver",Undirected,,20
"#sdr","#nodered",Undirected,,20
"#sdr","#avgeek",Undirected,,20
"#sdr","#actualplaneserver",Undirected,,20
"#nodered","#avgeek",Undirected,,20
"#nodered","#actualplaneserver",Undirected,,20
"#avgeek","#actualplaneserver",Undirected,,20
"#google","#cybersecurity",Undirected,,4
"#google","#robotics",Undirected,,4
"#cybersecurity","#robotics",Undirected,,4
"#aiart","#aiphotography",Undirected,,20
"#aiart","#aiartcommunity",Undirected,,50
"#aiイラスト","#aiphotography",Undirected,,14
"#aiイラスト","#aiartcommunity",Undirected,,28
"#stablediffusion","#aiphotography",Undirected,,16
"#stablediffusion","#aiartcommunity",Undirected,,28
"#aiphotography","#aiartcommunity",Undirected,,2
"#bingimagecreator","#openai",Undirected,,4
"#midjourney","#midjourney5",Undirected,,14
"#midjourney","#art",Undirected,,12
"#midjourney","#aiart",Undirected,,36
"#midjourney","#chatgpt",Undirected,,6
"#midjourney5","#art",Undirected,,6
"#midjourney5","#aiart",Undirected,,12
"#midjourney5","#chatgpt",Undirected,,6
"#art","#aiart",Undirected,,34
"#art","#chatgpt",Undirected,,6
"#aiart","#chatgpt",Undirected,,6
"#oppai","#aiイラスト",Undirected,,28
"#oppai","#aiart",Undirected,,28
"#aiartworks","#aiartcommunity",Undirected,,2
"#genshinimpact","#aiart",Undirected,,2
"#genshinimpact","#aiイラスト",Undirected,,56
"#genshinimpact","#aiartwork",Undirected,,2
"#genshinimpact","#aigenerated",Undirected,,2
"#genshinimpact","#aiartcommunity",Undirected,,2
"#genshinimpact","#stablediffusion",Undirected,,2
"#aiart","#aiartwork",Undirected,,88
"#aiart","#aigenerated",Undirected,,6
"#aiイラスト","#aiartwork",Undirected,,80
"#aiイラスト","#aigenerated",Undirected,,2
"#aiartwork","#aigenerated",Undirected,,2
"#aiartwork","#aiartcommunity",Undirected,,34
"#aiartwork","#stablediffusion",Undirected,,50
"#aigenerated","#aiartcommunity",Undirected,,2
"#aigenerated","#stablediffusion",Undirected,,6
"#bscgems","#airdrop",Undirected,,2
"#technology","#futureofwork",Undirected,,6
"#chatgpt","#edtech",Undirected,,2
"#gpt4","#generativeai",Undirected,,14
"#chatgpt","#generativeai",Undirected,,10
"#python","#education",Undirected,,4
"#python","#datascience",Undirected,,4
"#python","#machinelearning",Undirected,,4
"#python","#bigdata",Undirected,,4
"#education","#datascience",Undirected,,4
"#education","#machinelearning",Undirected,,4
"#education","#bigdata",Undirected,,4
"#datascience","#machinelearning",Undirected,,28
"#datascience","#bigdata",Undirected,,12
"#datascience","#artificialintelligence",Undirected,,20
"#aiart","#midjourneyv5",Undirected,,6
"#aiartcommunity","#midjourney",Undirected,,10
"#aiartcommunity","#midjourney5",Undirected,,6
"#aiartcommunity","#midjourneyv5",Undirected,,6
"#aiartwork","#midjourney",Undirected,,12
"#aiartwork","#midjourney5",Undirected,,6
"#aiartwork","#midjourneyv5",Undirected,,10
"#midjourney","#midjourneyv5",Undirected,,6
"#midjourney5","#midjourneyv5",Undirected,,8
"#midjourneyv5","#gpt4",Undirected,,2
"#midjourney5","#gpt4",Undirected,,2
"#chatgpt","#chatbot",Undirected,,4
"#chatgpt","#artificialintelligence",Undirected,,14
"#chatbot","#artificialintelligence",Undirected,,4
"#swa","#roboflow",Undirected,,8
"#swa","#objectdetection",Undirected,,8
"#swa","#machinelearning",Undirected,,8
"#swa","#nvidia",Undirected,,8
"#swa","#jetson",Undirected,,8
"#swa","#phx",Undirected,,8
"#swa","#automated",Undirected,,8
"#swa","#planespotting",Undirected,,8
"#swa","#raspberrypi",Undirected,,8
"#swa","#adsb",Undirected,,8
"#swa","#sdr",Undirected,,8
"#swa","#nodered",Undirected,,8
"#swa","#avgeek",Undirected,,8
"#swa","#actualplaneserver",Undirected,,8
"#web3","#agi",Undirected,,6
"#robot","#artificialintelligence",Undirected,,6
"#robot","#automation",Undirected,,10
"#robot","#robotics",Undirected,,14
"#automation","#robotics",Undirected,,10
"#aiイラスト","#aiwaifus",Undirected,,16
"#aiartwork","#aiwaifus",Undirected,,20
"#aiartwork","#chilloutmix",Undirected,,16
"#aiwaifus","#aiart",Undirected,,20
"#aiwaifus","#chilloutmix",Undirected,,16
"#aiwaifus","#stablediffusion",Undirected,,16
"#chilloutmix","#stablediffusion",Undirected,,34
"#aidemonwaifu","#aiart",Undirected,,2
"#aidemonwaifu","#aiイラスト",Undirected,,8
"#robot","#music",Undirected,,6
"#robotics","#music",Undirected,,6
"#music","#automation",Undirected,,2
"#socialmedia","#artificialintelligence",Undirected,,2
"#socialmedia","#metaverse",Undirected,,2
"#artificialintelligence","#metaverse",Undirected,,2
"#bigdata","#agi",Undirected,,2
"#llm","#chatgpt",Undirected,,4
"#community","#web3",Undirected,,4
"#openai","#elonmusk",Undirected,,8
"#elonmusk","#chatgpt",Undirected,,4
"#elonmusk","#gpt4",Undirected,,4
"#aiineducation","#aiイラスト",Undirected,,4
"#aiineducation","#writingcommunity",Undirected,,4
"#aiイラスト","#writingcommunity",Undirected,,4
"#aiイラスト","#art",Undirected,,14
"#aiイラスト","#digitalart",Undirected,,14
"#aiart","#digitalart",Undirected,,28
"#art","#digitalart",Undirected,,8
"#python","#tech",Undirected,,4
"#gpt4","#artificialintelligence",Undirected,,4
"#gpt4","#machinelearning",Undirected,,4
"#gpt4","#deeplearning",Undirected,,4
"#artificialintelligence","#deeplearning",Undirected,,6
"#artificialintelligence","#generativeai",Undirected,,4
"#machinelearning","#deeplearning",Undirected,,6
"#machinelearning","#generativeai",Undirected,,4
"#deeplearning","#generativeai",Undirected,,4
"#gpt4","#technology",Undirected,,10
"#openai","#technology",Undirected,,6
"#technology","#chatgpt4",Undirected,,4
"#aidemonwaifu","#aiartwork",Undirected,,6
"#robot","#futureofwork",Undirected,,6
"#robotics","#futureofwork",Undirected,,6
"#automation","#futureofwork",Undirected,,6
"#datascience","#ml",Undirected,,4
"#datascience","#mi",Undirected,,4
"#datascience","#deeplearning",Undirected,,2
"#datascience","#tech",Undirected,,2
"#bigdata","#deeplearning",Undirected,,2
"#bigdata","#tech",Undirected,,2
"#machinelearning","#tech",Undirected,,2
"#artificialintelligence","#tech",Undirected,,2
"#ml","#deeplearning",Undirected,,2
"#ml","#tech",Undirected,,2
"#mi","#deeplearning",Undirected,,2
"#mi","#tech",Undirected,,2
"#deeplearning","#tech",Undirected,,2
"#midjourney","#generativeai",Undirected,,2
"#aiart","#generativeai",Undirected,,6
"#midjourney","#aiartists",Undirected,,12
"#aiart","#aiartists",Undirected,,12
"#aiartworks","#midjourney",Undirected,,6
"#aiartworks","#aiartwork",Undirected,,6
"#genshinimpact","#aiartist",Undirected,,54
"#aiイラスト","#aiartist",Undirected,,58
"#chilloutmix","#aiphoto",Undirected,,14
"#chilloutmix","#aiphotography",Undirected,,14
"#stablediffusion","#aiphoto",Undirected,,14
"#aiイラスト","#aiphoto",Undirected,,12
"#aiphoto","#aiphotography",Undirected,,14
"#aiphoto","#aiart",Undirected,,14
"#aiphoto","#aiwaifus",Undirected,,12
"#aiphoto","#aiartwork",Undirected,,12
"#aiphotography","#aiwaifus",Undirected,,12
"#aiphotography","#aiartwork",Undirected,,12
"#aiwaifus","#aiartcommunity",Undirected,,4
"#robotics","#generativeai",Undirected,,2
"#robotics","#chatgpt",Undirected,,2
"#robotics","#gpt4",Undirected,,2
"#openai","#artificialintelligence",Undirected,,4
"#i18n","#community",Undirected,,4
"#writing","#art",Undirected,,4
"#aiart","#aiartist",Undirected,,4
"#aiartwork","#aiartist",Undirected,,4
"#aiartwork","#stablediffusionart",Undirected,,16
"#aiartwork","#oppai",Undirected,,4
"#aiartist","#stablediffusion",Undirected,,4
"#aiartist","#stablediffusionart",Undirected,,4
"#aiartist","#aiartcommunity",Undirected,,4
"#aiartist","#oppai",Undirected,,4
"#stablediffusion","#stablediffusionart",Undirected,,18
"#stablediffusion","#oppai",Undirected,,4
"#stablediffusionart","#aiartcommunity",Undirected,,16
"#stablediffusionart","#oppai",Undirected,,4
"#aiartcommunity","#oppai",Undirected,,4
"#innovation","#futureofwork",Undirected,,8
"#education","#innovation",Undirected,,2
"#chatgpt","#craiyonai",Undirected,,4
"#stablediffusion","#scifiart",Undirected,,4
"#stablediffusion","#midjourney",Undirected,,8
"#aiart","#scifiart",Undirected,,4
"#scifiart","#midjourney",Undirected,,8
"#aistreetwear","#aiイラスト",Undirected,,16
"#aistreetwear","#aiart",Undirected,,20
"#aistreetwear","#art",Undirected,,14
"#aistreetwear","#aiartwork",Undirected,,12
"#art","#aiartwork",Undirected,,8
"#aistreetwear","#stablediffusion",Undirected,,6
"#art","#stablediffusion",Undirected,,4
"#bingimagecreator","#tech",Undirected,,4
"#technocracy","#chatgpt",Undirected,,2
"#technocracy","#craiyonai",Undirected,,6
"#stablediffusion","#generativeai",Undirected,,4
"#stablediffusion","#generativeart",Undirected,,4
"#aiart","#generativeart",Undirected,,8
"#aigenerated","#generativeai",Undirected,,4
"#aigenerated","#generativeart",Undirected,,4
"#generativeai","#generativeart",Undirected,,4
"#stablediffusionart","#aiphotography",Undirected,,2
"#stablediffusionart","#aiphoto",Undirected,,2
"#stablediffusion","#digitalart",Undirected,,12
"#aiartcommunity","#digitalart",Undirected,,16
"#aiartwork","#digitalart",Undirected,,12
"#digitalart","#stablediffusionart",Undirected,,12
"#aiart","#machinelearning",Undirected,,10
"#art","#artificialintelligence",Undirected,,6
"#art","#machinelearning",Undirected,,6
"#digitalart","#artificialintelligence",Undirected,,10
"#digitalart","#machinelearning",Undirected,,10
"#aiart","#scifi",Undirected,,2
"#aiart","#abstractart",Undirected,,6
"#art","#aiartcommunity",Undirected,,4
"#art","#aiartists",Undirected,,2
"#art","#scifi",Undirected,,6
"#art","#abstractart",Undirected,,2
"#digitalart","#aiartists",Undirected,,2
"#digitalart","#scifi",Undirected,,2
"#digitalart","#midjourney",Undirected,,2
"#digitalart","#abstractart",Undirected,,6
"#artificialintelligence","#aiartcommunity",Undirected,,4
"#artificialintelligence","#aiartists",Undirected,,2
"#artificialintelligence","#scifi",Undirected,,2
"#artificialintelligence","#midjourney",Undirected,,2
"#artificialintelligence","#abstractart",Undirected,,6
"#machinelearning","#aiartcommunity",Undirected,,4
"#machinelearning","#aiartists",Undirected,,2
"#machinelearning","#scifi",Undirected,,2
"#machinelearning","#midjourney",Undirected,,2
"#machinelearning","#abstractart",Undirected,,6
"#aiartcommunity","#aiartists",Undirected,,4
"#aiartcommunity","#scifi",Undirected,,4
"#aiartcommunity","#abstractart",Undirected,,4
"#aiartists","#scifi",Undirected,,2
"#aiartists","#abstractart",Undirected,,2
"#scifi","#midjourney",Undirected,,6
"#scifi","#abstractart",Undirected,,2
"#midjourney","#abstractart",Undirected,,2
"#aiart","#aiartistcommunity",Undirected,,4
"#aiartistcommunity","#generativeart",Undirected,,4
"#aiartistcommunity","#digitalart",Undirected,,4
"#generativeart","#digitalart",Undirected,,4
"#openai","#ml",Undirected,,6
"#chatgpt","#ml",Undirected,,6
"#midjourney","#architecture",Undirected,,4
"#tesla","#elonmusk",Undirected,,8
"#tesla","#openai",Undirected,,4
"#gpt4","#midjourney",Undirected,,4
"#gpt4","#art",Undirected,,4
"#gpt4","#scifi",Undirected,,4
"#gpt4","#scifiart",Undirected,,4
"#art","#scifiart",Undirected,,4
"#scifi","#scifiart",Undirected,,4
"#aiartistcommunity","#fantasy",Undirected,,20
"#aiartistcommunity","#music",Undirected,,20
"#fantasy","#music",Undirected,,20
"#socialmedia","#innovation",Undirected,,6
"#socialmedia","#ia",Undirected,,2
"#innovation","#ia",Undirected,,2
"#chatgpt","#gpt",Undirected,,2
"#gpt","#gpt4",Undirected,,2
"#bscgems","#aiart",Undirected,,2
"#bscgems","#midway",Undirected,,2
"#aiart","#midway",Undirected,,2
"#aiartist",0,Undirected,,4
"#aiイラスト",0,Undirected,,16
"#stablediffusion",0,Undirected,,10
0,"#aiwaifus",Undirected,,8
0,"#artwork",Undirected,,6
0,"#aiphoto",Undirected,,2
0,"#oppai",Undirected,,4
"#aiphotography",0,Undirected,,2
"#stablediffusionart",0,Undirected,,6
"#art",0,Undirected,,6
"#midjourney5",0,Undirected,,6
"#midjourney",0,Undirected,,6
"#aiartwork",0,Undirected,,14
0,"#chilloutmix",Undirected,,4
"#aiart",0,Undirected,,32
"#chatgpt",0,Undirected,,6
0,"#aiartcommunity",Undirected,,10
"#gpt","#ml",Undirected,,4
